LABEL	DOCUMENT
acq	wavehill international inc makes purchse wavehill international ventures inc said it has completed the previously announced acquisition of personal computer rental corp for restricted common shares giving former shareholders of personal computer a pct interest in the combined company reuter
acq	taft tfb rejects dlr shr offer taft braodacasting co said its board of directors unanimously decided not to accept the pending proposal of theta corp an investor group led by dudley taft the decision was based on among other things the advise of its financial advisors goldman sachs and co that the offer of dlrs per share was inadequate taft said the board concluded that the offer failed to recognize fully the future propsects of the company and directed management to explore alternatives including possible financial restructuring reuter
crude	hughes u s rig count rises to u s drilling activity rose last week with the number of working rotary rigs up by to against working rigs one year ago hughes tool co said the improvement was the first increase this year in the weekly rig count which had dropped steadily since early january when a total of rotary rigs were working among individual states texas and oklahoma reported the biggest gains in drilling last week with increases of and respectively california and louisiana were each up by three and wyoming gained two additional working rigs hughes tool said it counted a total of rigs drilling on land rigs active offshore and drilling in inland waters in canada the rig count was up by two to against one year ago reuter
earn	texas international co tei th qtr loss shr loss cts vs loss cts net loss mln vs loss mln revs mln vs mln avg shrs mln vs mln year shr loss dlrs vs loss dlrs net loss ln vs loss mln revs mln vs mln avg shrs mln vs mln note net includes extraordinary gains of dlrs vs nil in quarter and dlrs vs dlrs in year year net includes dlr credit for previous overpayments of windfall profits taxes reuter
earn	polaroid prd up on reaffirmed opinion shares of polaroid corp rose following a reiterated recommendation by merrill lynch and co that focused on strong earnings momentum for the company traders said we have been recommending the stock since it was in the s but we reiterated today because of expectations of strong earnings momentum its benefits from the lower dollar and anticipation of nice gains in margins merrill lynch analyst charles ryan said he said a negative opinion by another brokerage house hurt the stock wednesday and it can be bought at a relatively bargain price today ryan said you always have to look at polaroid at its weakness its a volatile stock that has to be caught on weakness polaroid s stock which gained more than a point early this morning was trading at up it was down over three points wednesday morning before closing down polaroid is working overtime on production of cameras and film so we expect first quarter earnings to be up about pct ryan said estimating earnings of cts a share in the first quarter compared to cts a share earned a year earlier he expects the company to earn four dlrs a share in as compared to dlrs a share last year reuter
acq	taft tfb bidders would sell entertainment unit a proposed buyout of taft broadcasting co by dudley taft and other investors includes a plan to sell the company s entertainment group according to one of the investors jonathan nelson managing director of narragansett capital corp narr which is participating in the buyout plan declined to say if buyers have already been lined up for the entertainment group we are considering selling the group nelson said wall street analysts said any of the hollywood film studios which might be interested taft broadcasting co did not comment on the dlr per share offer taft has mln shares outstanding of which pct are owned by the taft and ingalls families dudley taft relinquished the title of president in july but continues as vice chairman of the company taft narragansett requsted a response to its proposal by march if the plan is accepted taft would be a private company financed by high yield bonds and bank debt nelson said narragansett is an investment management company specializing in leveraged buyout transactions taft shares climbed to causing arbitrageurs to say investors believe the bidders may raise their price robert m bass who controls pct of the stock and american financial corp holder of pct did not return telephohe calls seeking comment but dennis mcalpine analyst at oppenheimer and co said i don t think it s worth dlrs he noted taft recently agreed to sell a group of independent television stations at a loss he said the entertainment group which includes the hanna barbara animation studios is currently hampered by a glut of animated product taft broadcasting has never commented on reports that its major stockholders met recently to discuss a break up of the company macalpine said there are lots of options for reshaping the company with a distribution of various pieces to the major shareholders among the possibilities analyst alan gottesman of l f rothschild unterberg towbin inc said the bass group has been increasing its stake in the belief the company would be worth more with a change in its strategy he said bass pushed for sale of the independent television stations because the company paid too much reuter
crude	petrobras cancels oil purchase from saudi arabia brazil s state oil company petrobras has cancelled a mln dlr crude oil purchase from saudi arabia after the saudis refused to accept credit guarantees from the bank of brazil and did not disclose reasons a petrobras official said export director carlos santana told reporters the saudis were the first suppliers of oil to impose such conditions after brazil s decision to halt interest payment of its commercial debts last month the shipment of mln barrels represents two days of consumption he said the saudis reported they would no longer accept letters of credit from the bank of brazil or even from saudi banks and that brazil would have to obtain credit guarantees from leading international banks in february brazil had contracted to buy bpd from the saudis until june saudi arabia is brazil s second biggest oil supplier with an average bpd iraq is the main supplier with bpd china comes third with bpd if the saudis wish to stop our trade relationship i am sure that if they do we will be getting dozens of offers from elsewhere santana added santana said if the saudis change their minds and decide to respect the terms of the contract then petrobras will lift the order to cancel the shipment the saudis had put similar conditions on a previous shipment he added we telexed them saying that if they insisted we would rather cancel the contract and buy the product elsewhere santana said after petrobras threatened to cancel the contract the saudis changed their minds and decided to accept the bank of brazil s credit guarantees he said reuter
earn	anova ventures sets dividend in duevel shares anova ventures corp said its board declared a dividend payable in the form of registered shares of stock in duvel corp a blind public pool anova describes itself as a publishing and financial services firm specializing in arranging revers acquisitions and mergers between blind pools shells and private companies anova said it created duvel to act as a blind pool and will seek an operating private company to merger with duvel duvel has sold common shares to a private investor group to finance expenses of registration and shares will be paid to anova stockholders as a dividend it added reuter
earn	ford motor co of canada ltd fc cuts annual div annual div six dlrs vs dlrs prior pay march record march note payout includes two dlrs a share extra dividend payout includes four dlrs a share extra dividend reuter
earn	campbell resources inc cch nd qtr dec net shr profit three cts vs loss cts net profit vs loss revs vs six mths shr profit three cts vs loss cts net profit vs loss revs mln vs mln note campbell changing its yr end to dec from june reuter
acq	bell resources boosts stake in bhp bell resources ltd said it has executed an underwriting agreement with equiticorp tasman ltd to acquire mln ordinary shares in the broken hill pty co ltd brkn s for mln dlrs bell said in a statement that it now holds pct of bhp s billion shares reuter
acq	cineplex odeon buying coke ko cinema unit cineplex odeon corp said it agreed in principle to acquire the walter reade organization inc new york cinema chain from coca cola co s entertainment holdings inc unit for mln u s dlrs cineplex said the purchase price consisted of mln dlrs cash and cineplex common shares the transaction is subject to fulfilment of certain unspecified conditions and regulatory and board approvals walter reade operates screens in eight manhattan locations reuter
earn	national semiconductor corp nsm rd qtr loss march eight shr loss cts vs loss cts net loss mln vs loss mln sales mln vs mln avg shrs mln vs mln nine mths shr loss cts vs loss one dlr net loss mln vs loss mln sales billion vs billion avg shrs mln vs mln note twelve and week periods prior year results restated for change in method of recognizing revenue on distributor shipments quarter net loss originally reported as mln dlrs or cts shr on sales of mln dlrs and nine mth loss as mln dlrs or dlrs shr on sales of billion dlrs prior nine mths net includes mln dlr gain from cumulative effect of accounting change prior year net includes extraordinary credits of dlrs in quarter and dlrs in nine mths current year net both periods includes mln dlr pretax charge from previously announced restructuring of datachecker systems and semiconductor group manufacturing operations reuter
acq	american security asec to release information american security corp said a release will be forthcoming shortly regarding its pending merger with maryland national corp mdnt approved by its stockholders october american was halted on nasdaq pending a news announcement reuter
earn	pittsburgh and west virginia railroad pw net th qtr shr cts vs cts net vs revs vs year shr cts vs cts net vs revs vs reuter
acq	utilicorp ucu completes acquisition utilicorp united inc said it completed the acquisition of west virginia power from dominion resources for about mln dlrs the sale was approved by the west virginia public service commission in january and became effective march one west virginia s management will continue to be responsible for operating the utility it said reuter
earn	guardian national insurance co ltd garj j year shr cts vs cts final div cts vs making cts vs pre tax mln rand vs mln net mln vs mln tax mln vs mln gross premiums mln vs mln net premiums written mln vs mln underwriting loss mln vs loss mln div pay april register march note period year to december reuter
earn	quaker chemical corp qchm sets quarterly qtly div cts vs cts prior pay april record april reuter
earn	helig meyers co hmy increases dividend qtly div eight cts vs seven cts prior payable may record april reuter
